,Vectors,DOIs,Topics
85,"[ 0.13032018  0.26265863  0.24881193 -0.39136934 -0.4140119   0.3757964
  0.4125992   0.404808   -1.3827376   0.08607955  0.8308654   0.2665081
 -0.33830112 -0.34596905 -0.5641784  -0.37368268  0.41019332 -0.06921821
 -0.95319015  0.58791095  0.29741725 -0.20687324 -0.09575492  0.48867497
  0.5735616   1.2739911   0.16723335  0.5558704   0.34396705 -0.672909  ]",10.1002/cyto.b.21588,"['Algorithms', 'Flow Cytometry', 'Humans', 'Immunophenotyping', 'Phenotype', 'T-Lymphocytes']"
86,"[-0.03519278  0.5210132   0.14867966 -0.3013881  -1.4603006   0.95276904
 -0.10562508  0.7771791  -0.9752705   0.2172403   1.8777312   0.9612789
 -0.0340583   0.1443762  -0.290032   -0.24652064  0.9019159  -0.4169919
 -0.73714083  0.28675652  0.2970453  -0.5511344   0.29408866  0.5787355
  0.86597383  2.0386498  -0.22809693  0.14440341 -0.02285854 -0.52257633]",10.1016/j.ijpsycho.2017.09.005,"['Athletic Injuries', 'Brain Concussion', 'Exercise', 'Gray Matter', 'Humans', 'Motor Cortex', 'White Matter']"
87,"[ 0.08691121  0.25429922  0.3369856  -0.46701548 -0.47725362  0.2928798
  0.41781688  0.22623758 -1.295729    0.22430934  0.8203344   0.27039668
 -0.18027638 -0.29986718 -0.2544778  -0.19448453  0.3050456   0.03815376
 -0.9833508   0.56205654  0.21637623 -0.292685   -0.25692558  0.6406412
  0.6565545   1.3604627  -0.00180694  0.6548641   0.37039354 -0.6779513 ]",10.1002/14651858.CD004064.pub4,"['Anthracyclines', 'Antineoplastic Combined Chemotherapy Protocols', 'Camptothecin', 'Cisplatin', 'Docetaxel', 'Fluorouracil', 'Humans', 'Irinotecan', 'Randomized Controlled Trials as Topic', 'Stomach Neoplasms', 'Taxoids']"
88,"[ 0.00595807  0.06196732  0.08486948 -0.09266421 -0.05937612  0.03950145
  0.0542369   0.02736985 -0.28775567  0.0123675   0.156519    0.03494482
 -0.06170851 -0.06689227 -0.07257079 -0.07398932  0.05835208  0.02517124
 -0.19815023  0.1623418   0.03413888 -0.02765227 -0.05922512  0.11319404
  0.10595442  0.22297195  0.03558612  0.1351036   0.08631496 -0.1466274 ]",10.1016/j.jaci.2017.06.034,"['Epinephrine', 'Food', 'Food Hypersensitivity', 'Humans']"
89,"[-0.02074697  0.05201127  0.1569386  -0.18308319 -0.11410958  0.06820314
  0.07986748  0.02044172 -0.61630696 -0.02664473  0.36291817  0.03549746
 -0.13117068 -0.14423345 -0.12222233 -0.14445059  0.16489814  0.12810375
 -0.43951812  0.32570398  0.03931228 -0.07325084 -0.2072233   0.2659852
  0.289158    0.49812087 -0.0410348   0.35735002  0.30362505 -0.36161417]",10.1001/jamapsychiatry.2017.2431,"['Analgesics, Opioid', 'Humans', 'Opioid-Related Disorders']"
90,"[-0.02954991  0.0260394   0.15557677 -0.11187034 -0.0608363  -0.00391704
  0.05260755 -0.01544395 -0.41177532 -0.03113028  0.20124303  0.02327975
 -0.08344824 -0.0831458  -0.06094261 -0.09731197  0.09927013  0.07487594
 -0.2934351   0.2167119   0.04305695 -0.00946577 -0.12931468  0.22608425
  0.14782596  0.26580057  0.02274306  0.2466686   0.21877801 -0.25314942]",10.1007/s00701-017-3359-x,"['Health Personnel', 'Humans', 'Quality of Life', 'Stroke', 'Sweden']"
91,"[ 0.5504241   0.7321958   0.40607995 -0.38753167 -0.4314463   0.78394294
  1.0347711   0.6321191  -1.8656266   0.285168    1.1976299  -0.06678963
 -0.41918024 -0.5708161  -0.48041406 -0.9259011   0.52491844 -0.22428682
 -1.5611854   0.9328461   0.6217432  -0.5363281  -0.05822272  0.5216432
  0.27127126  1.8872699   0.21211325  0.74753064 -0.03958644 -0.9568171 ]",10.1124/dmd.117.077644,"['Adolescent', 'Adult', 'Aging', 'Area Under Curve', 'Child', 'Chromatography, High Pressure Liquid', 'Cytochrome P-450 CYP1A2', 'Cytochrome P-450 CYP2C9', 'Cytochrome P-450 Enzyme System', 'Female', 'Genotype', 'Humans', 'Male', 'Non-alcoholic Fatty Liver Disease', 'Pharmaceutical Preparations', 'Young Adult']"
92,"[ 0.08220906  0.11307477  0.192051   -0.14098898 -0.07555774  0.09800007
  0.22188717  0.12965648 -0.59113073  0.00636685  0.2700761   0.01774864
 -0.18689777 -0.17049813 -0.11565094 -0.23558822  0.13672139  0.05701093
 -0.5030664   0.2926963   0.11783652 -0.0984167  -0.08955592  0.2310015
  0.10235493  0.45593536  0.09620553  0.27387077  0.17514476 -0.29620376]",10.3390/molecules22122081,"['Angiogenesis Inhibitors', 'Animals', 'Dose-Response Relationship, Drug', 'Fibrinolytic Agents', 'Garlic', 'Halogenation', 'Mice', 'Models, Molecular', 'Molecular Conformation', 'Neovascularization, Physiologic', 'Organic Chemicals', 'Sulfur Compounds']"
93,"[ 2.8429902e-01  3.4086162e-01  4.2159534e-01 -5.0686151e-01
 -3.0497196e-01  3.7456849e-01  7.2326505e-01  2.9333454e-01
 -1.6189713e+00  3.9293498e-04  7.6528442e-01 -6.8574786e-02
 -3.7135264e-01 -3.1052014e-01 -4.4001463e-01 -4.3787125e-01
  3.0725825e-01 -1.1482400e-02 -1.4651246e+00  8.3448619e-01
  3.7149084e-01 -3.5948864e-01 -2.5108856e-01  4.5734107e-01
  2.4132456e-01  1.4940364e+00  1.7395970e-01  7.3505723e-01
  2.4467297e-01 -8.4717882e-01]",10.1136/heartjnl-2017-312024,"['Aged', 'Aortic Valve', 'Aortic Valve Insufficiency', 'Cohort Studies', 'Echocardiography', 'Female', 'Heart Valve Prosthesis', 'Heart Valve Prosthesis Implantation', 'Humans', 'Kidney Failure, Chronic', 'Male', 'Middle Aged', 'Peripheral Arterial Disease', 'Prognosis', 'Retrospective Studies', 'Risk Factors', 'Severity of Illness Index', 'Stroke Volume', 'Survival Analysis', 'United States', 'Ventricular Dysfunction, Left']"
94,"[ 0.00478289 -0.05398585  0.7329144  -0.8137046  -0.3879091   0.01113603
  0.24534181  0.39409763 -1.1734527   0.12024628  0.8462816   0.2554105
 -0.02016353 -0.10114278 -0.12620573 -0.03016245  0.7810602   0.1871849
 -1.1271769   0.52491975  0.06156946  0.05270633  0.00951081  0.8746823
  0.22789222  1.3827463   0.06410813  0.89881516  0.40188766 -0.60165286]",10.1016/j.suc.2017.07.008,"['Antipsychotic Agents', 'Brain Diseases', 'Cognition Disorders', 'Conscious Sedation', 'Critical Care', 'Critical Illness', 'Delirium', 'Early Ambulation', 'Exercise Therapy', 'Family', 'Humans', 'Pain Measurement', 'Stress Disorders, Post-Traumatic', 'Ventilator Weaning']"
95,"[ 0.36244658  0.4570863   0.20488097 -0.75404596 -0.6880396   0.5164387
  0.5682503   0.39405808 -1.9212948   0.20947209  1.1066141   0.11434685
 -0.32180047 -0.49366498 -0.6991009  -0.5739531   0.4293438   0.01917966
 -1.6181433   0.8106847   0.46975407 -0.68764985 -0.2711308   0.483945
  0.7467089   1.9708104  -0.05954218  0.9504823   0.33730206 -1.1112475 ]",10.1007/s10597-018-0242-z,"['Adolescent', 'Adult', 'Affective Symptoms', 'Attitude of Health Personnel', 'Community Mental Health Services', 'Female', 'Humans', 'Male', 'Obesity', 'Overweight', 'Qualitative Research', 'Surveys and Questionnaires', 'Weight Loss']"
96,"[ 0.10676616  0.28169167  0.31193572 -0.83517045 -0.7860674   0.50704455
 -0.03048468  0.4614907  -1.7339153   0.18543616  1.4376901   0.23167512
 -0.43799922 -0.27504686 -0.5322125  -0.51033825  0.53939867  0.14451174
 -1.3470541   0.6410499   0.18264201 -0.51018023 -0.00277449  0.70714694
  0.948716    2.0246387  -0.13554193  0.9581443   0.28823176 -0.9092791 ]",10.1377/hlthaff.2017.1390,"['Adult', 'Female', 'Health Insurance Exchanges', 'Humans', 'Insurance Coverage', 'Insurance, Health', 'Longitudinal Studies', 'Male', 'Medically Uninsured', 'Patient Protection and Affordable Care Act', 'Surveys and Questionnaires']"
97,"[ 0.17837226  0.22622095  0.35407984 -0.2718682  -0.5030995   0.4055443
  0.3596133   0.36700746 -1.3257627   0.05865701  0.9874145   0.40185875
 -0.27061868 -0.35361156 -0.45796195 -0.5648045   0.27830297 -0.06613291
 -0.9430842   0.6106179   0.25962487 -0.27954528 -0.14229694  0.6144895
  0.7612323   1.2399881   0.11549501  0.3720239   0.31062964 -0.585822  ]",10.1128/MCB.00595-17,"['Animals', 'Arsenic', 'Autophagy', 'HeLa Cells', 'Humans', 'Lysosomes', 'Membrane Fusion', 'Mice', 'NIH 3T3 Cells', 'Phagosomes', 'Protein Binding', 'Qb-SNARE Proteins', 'Qc-SNARE Proteins']"
98,"[ 0.11497155  0.13724914  0.17975551 -0.1831677  -0.26458067  0.18076685
  0.1858823   0.17980807 -0.8053447   0.07630108  0.47989193  0.12618163
 -0.19204225 -0.11227936 -0.24496767 -0.1960925   0.3354337   0.03779531
 -0.61645395  0.31885156  0.15749498 -0.11998563 -0.12737474  0.27641168
  0.30256745  0.72280014  0.00170171  0.36770508  0.18026629 -0.45180714]",10.1016/j.jaip.2017.09.016,"['Administration, Oral', 'Adolescent', 'Adult', 'Allergens', 'Arachis', 'Child', 'Child, Preschool', 'Desensitization, Immunologic', 'Double-Blind Method', 'Female', 'Humans', 'Male', 'Peanut Hypersensitivity', 'Plant Proteins', 'Treatment Outcome', 'Young Adult']"
99,"[-0.11361949  0.17474027  0.8898712  -1.5468683  -1.0267396   0.77998954
  0.5176274   1.0772052  -1.2301341   0.35718948  1.7793516   0.8871093
  0.5375608   0.00322615 -0.31755227  0.49982694  1.1874478  -0.34623578
 -1.2588551   0.19927728 -0.28400308  0.01258043  0.8653581   1.165181
 -0.32384056  2.833416    0.2313439   0.6350836  -0.33913386 -0.50500596]",10.1038/s41598-017-17624-3,"['Cardiac Surgical Procedures', 'Cross-Sectional Studies', 'Female', 'Humans', 'Intensive Care Units', 'Length of Stay', 'Male', 'Middle Aged', 'Physical Therapists', 'Regression Analysis', 'Retrospective Studies', 'Time Factors']"
100,"[-0.33269292  0.34467828  0.77368504 -0.05259204 -0.17026643  0.59157157
  0.5860277   0.15264039 -0.51942426 -0.5372513   0.22512685 -0.18345116
 -0.00651899 -0.6000441  -0.24553466 -0.17538881  1.1119934  -0.00612868
 -0.6089783   0.5362119   0.13201685  0.04851698 -0.11794475  0.08121322
 -0.02932011  0.2565896  -0.2789068  -0.15993944 -0.11341143 -0.06887746]",Unknown,"['Accidents, Traffic', 'Adult', 'Aged', 'Ankle Injuries', 'Humans', 'Joint Dislocations', 'Manipulation, Orthopedic', 'Middle Aged', 'Physical Therapy Modalities']"
101,"[ 0.77048767  1.9336661   0.5171314  -0.86732274 -1.4604362   0.97735405
 -0.32997587 -1.4013684  -1.6557584  -0.10759269 -0.7625296  -0.8064151
 -0.16457297 -1.1422342  -0.95489424 -1.5176343   1.0168881  -0.7990332
 -1.4428409  -0.7963882  -0.65103865 -1.2055931  -0.9420759   0.48160353
  0.21691471  0.30292156  0.74874157  1.0124844   0.04922896  0.43888974]",10.1083/jcb.139.7.1719,"['Amino Acid Sequence', 'Animals', 'Base Sequence', 'Carrier Proteins', 'Cell Compartmentation', 'Cell Line', 'Cell Membrane', 'Chlorocebus aethiops', 'Contractile Proteins', 'Endocytosis', 'Endosomes', 'Filamins', 'Furin', 'Humans', 'Lysosomes', 'Microfilament Proteins', 'Models, Biological', 'Molecular Sequence Data', 'Protein Precursors', 'Protein Processing, Post-Translational', 'Receptors, Transferrin', 'Subtilisins', 'Tumor Cells, Cultured']"
102,"[ 0.9607852   1.8583117   1.0909214  -0.20584841 -1.1739515   1.4274042
  0.24930394 -1.094613   -2.3836443  -1.1797664   0.29361197 -0.122235
 -0.6019549  -1.8291676  -0.14775085 -1.2633449   0.5745657   0.04715798
 -0.11937369 -0.05809241 -0.51471543 -0.01704619 -0.32353467  1.7470032
  0.44749534  0.9924008   0.10007566  0.5411832  -0.00629861 -0.4131135 ]",10.1017/s0952523898154159,"['Animals', 'Biotin', 'Connexins', 'Diffusion', 'Fluorescent Dyes', 'Gap Junctions', 'Injections', 'Iontophoresis', 'Isoquinolines', 'Microscopy, Confocal', 'Neurons', 'Rabbits', 'Retina']"
103,"[ 0.02095566  1.4609717   1.1801687  -0.23341781 -0.7921995   2.2323098
  0.71463203 -0.1832876  -2.0660305  -0.38661048  0.53847766 -0.71966153
 -0.13696459 -1.8845489  -0.05484666 -0.7123217   1.3403783   0.39529914
 -0.4552184   0.6543614  -0.31296158 -0.08457638 -0.5668567   1.1415943
  0.9365979   0.7116489  -0.11118416 -0.20755626 -0.37458396 -0.33485752]",10.1111/j.1469-7793.1998.549bt.x,"['Animals', 'Autonomic Nervous System', 'Blotting, Northern', 'Blotting, Western', 'Denervation', 'Electric Stimulation', 'Enzyme Inhibitors', 'Ganglionectomy', 'Immunohistochemistry', 'Jejunum', 'Male', 'Myenteric Plexus', 'NG-Nitroarginine Methyl Ester', 'Nitric Oxide Synthase', 'Oxidopamine', 'Rats', 'Rats, Sprague-Dawley', 'Thiolester Hydrolases', 'Ubiquitin Thiolesterase', 'Vagotomy']"
104,"[ 0.28548452  0.8967497   1.953334    0.11474296 -0.74371505  1.6717117
  0.9123189  -1.1051595  -1.6026254  -1.6717747   0.74139917  1.0513147
 -0.70171255 -1.7626901   0.39338395 -1.0189741   1.8901956   0.36433563
 -0.8635628   1.0342907  -0.19302447 -0.08375739 -0.08213951  0.11573613
 -0.05080926  0.73691005 -0.09426846  0.67788595  0.05320964  0.03448055]",10.1083/jcb.137.6.1229,"['Animals', 'Breast Neoplasms', 'Cell Line', 'Female', 'Golgi Apparatus', 'Humans', 'Mucin-1', 'Polysaccharides', 'Rabbits', 'Sialyltransferases', 'Transfection', 'Tumor Cells, Cultured', 'beta-Galactoside alpha-2,3-Sialyltransferase']"
105,"[-0.629299    0.76356834  1.7787557  -0.23422335 -0.3935751   1.4880177
  1.6483101   0.02755504 -1.9318066  -1.052038    0.7024687  -0.3317458
  0.21625152 -1.496181    0.59416515 -0.829926    2.1408217   0.64157766
 -0.79740083  0.46414065  0.28004918 -0.06150408 -0.02875618  0.9026499
 -0.1848771   1.9986192   0.01446773 -0.34573674 -0.47107932  0.22337368]",10.1084/jem.185.6.1089,"['Animals', 'Aspergillosis, Allergic Bronchopulmonary', 'Aspergillus fumigatus', 'Bronchoalveolar Lavage Fluid', 'Cells, Cultured', 'Crosses, Genetic', 'Cytokines', 'Disease Models, Animal', 'Flow Cytometry', 'Immune Tolerance', 'Interferon-gamma', 'Interleukin-10', 'Interleukin-4', 'Lung', 'Mice', 'Mice, Inbred C57BL', 'Mice, Knockout', 'Receptors, Antigen, T-Cell, alpha-beta', 'T-Lymphocytes']"
106,"[ 1.5785364   1.0460378   0.8864559  -0.7363785  -0.3566715   1.8727043
 -0.21843334 -1.7886807  -1.8972574  -0.9653923  -0.52382797  0.9352635
 -0.01794296 -1.6489162   0.00571794 -0.9615625   1.2154545   0.32966775
  0.5542064   0.4679068  -1.732835   -1.0700785  -0.37677452  1.7181649
  0.37601608  1.4073932   0.9605571   0.2850465   0.14712274  0.39926153]",10.1016/S0002-9440(10)65553-8,"['Animals', 'Apoptosis', 'Clusterin', 'Estradiol', 'Glycoproteins', 'Immunoenzyme Techniques', 'In Situ Hybridization', 'Male', 'Molecular Chaperones', 'Orchiectomy', 'Prostate', 'Prostatic Diseases', 'RNA, Messenger', 'Rats', 'Testosterone']"
107,"[ 0.2449416   1.3761789   0.80349517 -0.6198315  -1.0785127   1.7660673
  0.4103147   0.23421521 -1.8238022  -0.6919837   0.05368946 -0.81603324
 -0.07781698 -1.3488973  -0.47914007 -0.9256397   1.3353173  -0.19122662
 -0.9007221   0.39312887  0.11762509 -0.01054653 -0.13987522  0.93261725
  0.7608854   0.7724741  -0.34588566 -0.06113724 -0.17761904 -0.3364958 ]",10.1016/0899-3289(95)90002-0,"['Adult', 'Black or African American', 'Cocaine', 'Crack Cocaine', 'Diagnosis, Dual (Psychiatry)', 'Female', 'Humans', 'Illicit Drugs', 'Mental Disorders', 'Parenting', 'Personality Assessment', 'Poverty', 'Pregnancy', 'Psychoses, Substance-Induced', 'Psychotropic Drugs', 'Puerperal Disorders', 'Risk Factors', 'Substance Abuse Detection', 'Substance-Related Disorders']"
108,"[ 0.1970092   1.4424719   2.0260735   0.0619483  -0.5061946   1.618236
  1.550133    1.1437824  -2.432418   -1.901786    0.77018183 -0.10928502
 -0.7696887  -1.5926722   0.39642325  0.5949454   2.3304012   0.31596872
 -0.13869981  1.109224    0.5111859   1.4285191   0.43286183  0.8202297
  0.5874464   0.5423069   0.11312602 -0.34979448  0.21064012  0.32778224]",10.1016/S0002-9440(10)65584-8,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Antigens, CD', 'Central Nervous System', 'Child', 'Child, Preschool', 'Endothelium, Vascular', 'Female', 'Humans', 'Immunoenzyme Techniques', 'Infant', 'Infant, Newborn', 'Integrin alpha1beta1', 'Integrin alpha2', 'Integrin alpha3', 'Integrin alpha6beta1', 'Integrin alphaV', 'Integrin beta1', 'Integrins', 'Laminin', 'Male', 'Microscopy, Immunoelectron', 'Middle Aged', 'Multiple Sclerosis', 'Receptors, Laminin']"
109,"[ 1.1642575   1.174285    0.7542986  -0.95472974 -1.1782681   1.5024946
 -1.0924736  -0.93216974 -1.6963197  -0.15584217 -0.49694628 -0.18053886
  0.25585052 -1.1328137  -1.0926399  -1.0658361   1.1255764   0.23538171
 -0.81277055 -0.20155191  0.5456466  -1.2493747  -0.9881116   1.2438852
  0.89490414  1.3522316   1.0089723   0.41833356  0.83558613 -0.67800415]",10.1016/S0002-9440(10)65580-0,"['Adaptor Proteins, Signal Transducing', 'Animals', 'Animals, Newborn', 'Cell Division', 'DNA-Binding Proteins', 'Epidermis', 'Immunoenzyme Techniques', 'In Situ Hybridization', 'LIM Domain Proteins', 'Membrane Proteins', 'Mice', 'Mice, Transgenic', 'Proliferating Cell Nuclear Antigen', 'Protein Serine-Threonine Kinases', 'Receptor, ErbB-2', 'Skin', 'Up-Regulation']"
110,"[-0.10991555  2.3471792   1.3682193  -0.07056766 -1.0879804   1.9168087
  0.48741892  1.8840731  -1.6384836  -0.70411354  0.543588   -2.6421428
  0.13151665 -1.6766305  -1.0228292  -1.3194494   2.076114   -0.26383534
 -1.3831178   1.1141375   0.6192622   0.8010827  -0.18746103  1.05479
  1.0575926   1.0596427  -0.5823787   0.06034367 -0.13150442 -0.6182172 ]",Unknown,"['Adaptation, Physiological', 'Analgesics', 'Animals', 'Brain', 'Buprenorphine', 'Enkephalin, D-Penicillamine (2,5)-', 'Enkephalins', 'Kinetics', 'Male', 'Oligopeptides', 'Radioligand Assay', 'Rats', 'Rats, Sprague-Dawley', 'Receptors, Opioid']"
111,"[ 1.439036    2.1532085   0.7150345  -0.48436686 -1.6629155   1.8828549
 -0.8006975  -0.6789188  -1.8044798   0.08807737 -0.01130585 -0.49390703
  0.07147138 -1.7666355  -0.77852917 -1.6701461   0.41087466  0.40313002
 -0.7862557  -0.2140094   0.04338087 -0.3443193  -0.35301718  1.5837587
  0.70886797  1.1206124   0.3868673   0.29455224 -0.2578118  -0.69791585]",10.1016/S0002-9440(10)65588-5,"['Animals', 'Apoptosis', 'Axotomy', 'Cell Nucleus', 'Electron Transport Complex IV', 'Immunoenzyme Techniques', 'Male', 'Microscopy, Electron', 'Mitochondria', 'Neurons', 'Occipital Lobe', 'Oxidative Stress', 'Rats', 'Rats, Sprague-Dawley', 'Retrograde Degeneration', 'Time Factors']"
112,"[ 0.37647074  0.98204255  1.4749588  -0.43579522 -0.04170064  2.477253
  1.6490346   0.06097398 -2.3639495  -0.9040527  -0.05773812  0.7423015
 -0.38445786 -1.9961629   0.9073389  -0.16806486  2.5629034  -0.09909923
  0.1786662   1.479123   -1.1033381   0.35451832 -1.2997022   1.5424219
  0.40480003  1.1908346  -0.11734434 -0.46255496 -0.2574903  -0.59746885]",10.1016/S0002-9440(10)65591-5,"['Adult', 'Cells, Cultured', 'Cervix Uteri', 'Female', 'Gene Expression Regulation', 'Genotype', 'HIV Infections', 'Humans', 'Immunoenzyme Techniques', 'Immunophenotyping', 'Leukocytes, Mononuclear', 'Microscopy, Fluorescence', 'Middle Aged', 'Mucous Membrane', 'Progesterone', 'RNA, Messenger', 'Receptors, Chemokine', 'Time Factors']"
113,"[-0.35493892  1.750296    1.0550966  -0.4587897  -1.7072586   1.6023697
  0.4303624  -0.08547965 -2.1911478  -1.5052682  -0.19750072 -1.5111486
 -0.794679   -1.5296775  -1.9848278  -1.66059     1.5193577  -0.29142016
 -0.9796722   1.4716446  -1.5761318  -0.363278    0.75726426  2.093672
  0.08729779  1.3922851  -2.419762    1.3399053   0.08508755  2.2754085 ]",10.1111/j.1469-7793.1998.667bp.x,"['Adenosine Triphosphatases', 'Animals', 'Cell Differentiation', 'Cloning, Molecular', 'Gene Expression Regulation, Developmental', 'Isoenzymes', 'Male', 'Molecular Sequence Data', 'Muscle Fibers, Skeletal', 'Muscle, Skeletal', 'Myosin Heavy Chains', 'RNA, Messenger', 'Rana pipiens', 'Sequence Homology, Amino Acid']"
114,"[ 0.80439603  1.6865772   0.96216005 -0.40279382 -1.2947496   1.7353489
  0.08690048 -0.6049811  -2.1580222  -0.24527809  0.4569362  -0.2727864
 -0.31362098 -1.5836519  -0.2773967  -1.5258536   0.7619193  -0.09715302
 -0.5318094   0.20430584 -0.3577868   0.06664213 -0.35464618  1.3460491
  0.5532273   0.94510436  0.08583137  0.43138063  0.05346919 -0.23408431]",10.1016/S0002-9440(10)65613-1,"['Animals', 'Coproporphyrins', 'Cytoplasmic Granules', 'Fluorescence', 'Humans', 'Image Processing, Computer-Assisted', 'Isoproterenol', 'Lipofuscin', 'Male', 'Muscle, Skeletal', 'Myocardial Infarction', 'Myocardium', 'Myoglobin', 'Myositis', 'Rats', 'Rats, Wistar', 'Sarcolemma']"
115,"[ 0.16923761  0.13177255  1.1349951   0.4080733  -0.28791815  0.8230141
  2.609997   -1.275885   -1.7541654  -1.0020711   0.69622993 -0.707791
  0.49703228 -1.4412056   0.7501993  -0.7667561   2.6191618   1.4287072
 -0.13138117 -0.68857485 -0.917762   -0.52167714 -0.24889971  1.1946491
 -1.441764    2.4489424   0.31945568 -0.04635872 -0.7690033  -1.0007668 ]",10.1084/jem.186.11.1853,"['Actins', 'Acute Disease', 'Animals', 'Anti-Glomerular Basement Membrane Disease', 'Basement Membrane', 'Capillary Permeability', 'Cell Adhesion', 'Complement C3b', 'Complement System Proteins', 'Endothelium, Vascular', 'Female', 'Immune Complex Diseases', 'Intercellular Adhesion Molecule-1', 'Isoantibodies', 'Kidney Glomerulus', 'Leukotriene B4', 'Macrophage-1 Antigen', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Mice, Knockout', 'Models, Immunological', 'Neutrophils', 'Proteinuria', 'Receptors, IgG']"
116,"[ 0.93038636  1.7822903   0.6356849  -0.7625426  -1.5659168   1.182179
 -0.0354144  -1.00291    -1.9224019  -0.52458346 -0.10267639 -0.23036423
 -0.3929466  -1.2316917  -0.7475235  -1.9503934   0.9686992   0.15199815
 -0.82486904 -0.5091686  -0.22538047 -0.4016322  -0.42030853  1.6456007
  0.2571894   1.1044979   0.22287723  0.5581365  -0.5455469  -1.1081709 ]",10.1083/jcb.138.6.1289,"['Animals', 'Arabidopsis', 'Caenorhabditis elegans', 'Cell Cycle', 'Cell Cycle Proteins', 'Centromere', 'Chromosomes', 'Cloning, Molecular', 'Drosophila', 'Drosophila Proteins', 'HeLa Cells', 'Humans', 'Insect Proteins', 'Mice', 'Microinjections', 'Molecular Sequence Data', 'Mutation', 'RNA, Antisense', 'Recombinant Fusion Proteins', 'Sequence Homology, Amino Acid']"
117,"[-1.4841895   1.7241182   3.0990422  -0.38284555 -1.1349888   1.8689835
  1.0931653   1.8510559  -1.7312115  -1.092803    1.553287   -1.896576
 -0.40421334 -2.5039754  -0.72778577 -0.85357565  2.5645385  -0.89402574
 -2.9002194   1.9200227   1.0784152  -0.2451714  -0.04511454  0.02746863
  1.7575198   0.22656207 -0.5651939  -0.5006771  -0.13103461  0.26839074]",10.1111/j.1469-7793.1998.473bt.x,"['Analgesics, Opioid', 'Animals', 'Baclofen', 'Bicuculline', 'Enkephalin, Ala(2)-MePhe(4)-Gly(5)-', 'Enkephalins', 'Excitatory Postsynaptic Potentials', 'Female', 'GABA Agents', 'GABA Antagonists', 'GABA-B Receptor Agonists', 'Glycine Agents', 'In Vitro Techniques', 'Male', 'Membrane Potentials', 'Narcotic Antagonists', 'Patch-Clamp Techniques', 'Peptide Fragments', 'Peptides', 'Rats', 'Rats, Wistar', 'Receptors, GABA-A', 'Receptors, Glycine', 'Receptors, Opioid, mu', 'Somatostatin', 'Strychnine', 'Substantia Gelatinosa', 'Synaptic Transmission', 'Tetrodotoxin']"
118,"[ 1.3040209e+00  1.1231652e+00  9.5044512e-01 -1.2483276e+00
 -1.0643954e+00  2.1343341e+00 -4.3297610e-01 -1.1353884e+00
 -2.1253254e+00  8.8593416e-04 -2.5138861e-01 -1.6884083e-01
  1.9644876e-01 -2.0161357e+00 -3.6812422e-01 -1.4796472e+00
  7.6425636e-01  7.7913105e-01 -2.4055472e-01 -4.7477254e-01
  3.5997501e-01 -4.5337346e-01 -3.9463934e-01  1.8182716e+00
  9.2927581e-01  1.6039944e+00  6.6698909e-01 -3.5069180e-03
  2.8134620e-01 -4.8284313e-01]",10.1016/S0002-9440(10)65589-7,"['Animals', 'Basement Membrane', 'Blotting, Northern', 'Collagen', 'Female', 'In Situ Hybridization', 'Lactation', 'Mammary Glands, Animal', 'Matrix Metalloproteinase 3', 'Metalloendopeptidases', 'Mice', 'Mice, Transgenic', 'Neovascularization, Pathologic', 'Polymerase Chain Reaction', 'Pregnancy', 'RNA, Messenger', 'Stromal Cells', 'Tenascin', 'Time Factors', 'Up-Regulation']"
119,"[ 1.390388    2.0806506   0.4350582  -0.44077972 -1.3037301   0.92334586
 -0.40484315 -2.5863824  -2.234546   -1.0858309  -0.31999207  0.04996349
 -0.41856548 -1.0818559  -1.0207678  -2.1666796   0.5650307  -0.20557941
 -0.07048414 -1.1200757  -1.6342572  -0.81312233 -0.19270849  1.9337243
 -0.39719346  0.9828698   0.5212764   1.4304628  -0.38682404 -1.1701748 ]",10.1083/jcb.137.3.563,"['Cell Compartmentation', 'Cell Division', 'Exocytosis', 'Fluorescent Antibody Technique, Indirect', 'Fungal Proteins', 'GTP Phosphohydrolases', 'Gene Deletion', 'Genes, Fungal', 'Golgi Apparatus', 'Intracellular Membranes', 'Microscopy, Electron', 'Mutagenesis, Site-Directed', 'Precipitin Tests', 'Saccharomyces cerevisiae', 'Sequence Alignment', 'Sequence Homology, Amino Acid']"
120,"[ 1.1627673   1.1921602   0.8776738  -0.51564443 -1.4479624   1.3485255
 -0.32171708 -1.1348639  -2.0023417  -0.5509033   0.49657288 -0.3670433
  0.15224603 -1.6627516  -0.80973977 -0.9606043   0.8184753   0.3797372
 -0.38324457 -0.43486056 -0.25299725 -0.94718105  0.04603197  1.3396811
  0.49164158  0.81082857  0.62908566  0.7449025   0.04535411 -0.8077027 ]",10.1083/jcb.145.6.1209,"['Animals', 'Brain', 'Cell Differentiation', 'Cell Size', 'Cells, Cultured', 'Enzyme Activation', 'Fibroblast Growth Factors', 'Myelin Proteins', 'Myelin Sheath', 'Oligodendroglia', 'Phosphorylation', 'Phosphotyrosine', 'Platelet-Derived Growth Factor', 'Proto-Oncogene Proteins', 'Proto-Oncogene Proteins c-fyn', 'Pyrazoles', 'Pyrimidines', 'Rats', 'Rats, Sprague-Dawley', 'Stem Cells', 'Up-Regulation', 'src-Family Kinases']"
